%% logfile from robot Ella (8)
% Ella (8)
%  1    time 3.844 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right -0.264723 1, values 2201 2568 2565 2290 1840 1346 1442 1207, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=-0.264723, m2=-0.714212, uf=0, r2=0.5, ep=0.242842,up=0.0838589, ui=0, u1=0.0838589, u=0.0838589
3.982 -2.6600 1 0.5046 1  2208 2608 2829 2760 2322 1707 1506 1283  1 1 1 0 1 0 2 5 5 0.5 0.504629 0.793712 0 0.5 -0.0587424 0.0130548 0 0.0130548 0.0130548 
3.984 -2.6600 1 0.4033 1  2344 2604 2727 2769 2255 1714 1530 1290  1 1 1 0 1 0 2 5 5 0.5 0.403334 0.485066 0 0.5 0.00298684 0.0332133 0 0.0332133 0.0332133 
3.986 -2.6600 1 0.5283 1  2323 2602 2742 2761 2331 1720 1549 1219  1 1 1 0 1 0 2 5 5 0.5 0.528277 0.841544 0 0.5 -0.0683088 0.00872916 0 0.00872916 0.00872916 
3.988 -2.7835 1 0.4979 1  2142 2598 2803 2771 2336 1740 1620 1360  1 1 1 0 1 0 2 5 5 0.5 0.497938 0.714199 0 0.5 -0.0428398 0.0160764 0 0.0160764 0.0160764 
3.990 -2.6600 1 0.3982 1  2273 2599 2767 2782 2279 1753 1563 1330  1 1 1 0 0 0 0 5 5 0.5 0.398173 0.403441 0 0.5 0.0193118 0.0361864 0 0.0361864 0.0361864 
3.992 -2.6600 1 0.1980 1  2158 2609 2851 2791 2131 1772 1472 1351  1 1 1 0 0 0 0 5 5 0.5 0.19799 -0.186018 0 0.5 0.137204 0.0753831 0 0.0753831 0.0753831 
3.994 -2.6600 1 0.6149 1  2205 2612 2889 2797 2430 1794 1551 1359  1 1 1 0 0 0 0 5 5 0.5 0.614881 1.01822 0 0.5 -0.103643 -0.00627359 0 -0.00627359 -0.00627359 
3.996 -2.6600 1 0.3377 1  2308 2605 2774 2796 2273 1816 1630 1378  1 1 1 0 0 0 0 5 5 0.5 0.337681 0.178987 0 0.5 0.0642027 0.0491279 0 0.0491279 0.0491279 
3.998 -2.7606 1 0.4466 1  2108 2607 2852 2810 2340 1836 1697 1397  1 1 1 0 1 0 1 5 5 0.5 0.44662 0.526238 0 0.5 -0.00524765 0.0260786 0 0.0260786 0.0260786 
4.000 -2.7419 1 0.1503 1  2063 2600 2875 2810 2162 1847 1671 1508  1 1 1 0 0 0 0 5 5 0.5 0.1503 -0.372113 0 0.5 0.174423 0.0854095 0 0.0854095 0.0854095 
4.002 -2.6600 1 0.5702 1  2353 2603 2767 2820 2448 1873 1681 1425  1 1 1 0 1 0 2 5 5 0.5 0.570165 0.895191 0 0.5 -0.0790383 0.000768007 0 0.000768007 0.000768007 
4.004 -2.6600 1 0.5832 1  2301 2610 2923 2834 2462 1893 1735 1449  1 1 1 0 1 0 2 5 5 0.5 0.583236 0.899791 0 0.5 -0.0799583 -0.000650167 0 -0.000650167 -0.000650167 
4.006 -2.7599 1 0.4287 1  2137 2608 3011 2840 2362 1910 1718 1388  1 1 1 0 1 0 2 5 5 0.5 0.428708 0.446904 0 0.5 0.0106193 0.0294301 0 0.0294301 0.0294301 
4.008 -2.6600 1 0.7202 1  2220 2604 3074 2844 2586 1934 1660 1483  1 1 1 0 1 0 2 5 5 0.5 0.720152 1.30635 0 0.5 -0.161269 -0.0285307 0 -0.0285307 -0.0285307 
4.010 -2.6600 1 0.5310 1  2329 2604 2937 2848 2445 1957 1687 1511  1 1 1 0 1 0 2 5 5 0.5 0.531013 0.708416 0 0.5 -0.0416831 0.0102927 0 0.0102927 0.0102927 
4.012 -2.6600 1 0.4625 1  2239 2606 2857 2868 2434 1987 1812 1565  1 1 1 0 0 0 0 5 5 0.5 0.462488 0.50539 0 0.5 -0.00107806 0.0235214 0 0.0235214 0.0235214 
4.014 -2.6600 1 0.5283 1  2180 2618 2889 2878 2460 2013 1728 1559  1 1 1 0 0 0 0 5 5 0.5 0.528266 0.676793 0 0.5 -0.0353587 0.0111548 0 0.0111548 0.0111548 
4.016 -2.6761 1 0.5788 1  1974 2614 2882 2882 2525 2039 1973 1677  1 1 1 0 0 0 0 5 5 0.5 0.578834 0.762618 0 0.5 -0.0525235 0.003568 0 0.003568 0.003568 
4.018 -2.6600 1 0.5109 1  2202 2614 2964 2888 2463 2150 1951 1640  1 1 1 0 0 0 0 5 5 0.5 0.510858 0.518705 0 0.5 -0.003741 0.0184937 0 0.0184937 0.0184937 
4.020 -2.6906 1 0.6036 1  2010 2616 2757 2901 2510 2095 2037 1626  1 1 1 0 1 0 1 5 5 0.5 0.603643 0.82452 0 0.5 -0.0649039 -0.00172195 0 -0.00172195 -0.00172195 
4.022 -2.6600 1 0.5900 1  2315 2615 2878 2905 2542 1999 1913 1689  1 1 1 0 0 0 1 5 5 0.5 0.590032 0.718633 0 0.5 -0.0437265 0.00344088 0 0.00344088 0.00344088 
4.024 -2.6600 1 1.0120 1  2165 2617 2869 2919 2628 2225 2026 1721  1 1 1 0 1 0 3 5 5 0.5 1.01196 1.8936 0 0.5 -0.27872 -0.0774148 0 -0.0774148 -0.0774148 
4.026 -2.7274 1 1.2534 1  2117 2616 2791 2904 2696 2284 2034 1770  1 1 1 0 1 0 3 5 5 0.5 0.5 0.26601 0 0.5 0.046798 0.0284455 0 0.0284455 0.0284455 
4.028 -2.6600 1 1.0840 1  2195 2611 2882 2971 2650 2249 2015 1739  1 1 1 0 0 0 1 5 5 0.5 1.08403 1.91526 0 0.5 -0.283052 -0.0844527 0 -0.0844527 -0.0844527 
4.030 -2.6600 1 1.0995 1  2179 2612 2897 2946 2630 2256 1992 1776  1 1 1 0 1 0 1 5 5 0.5 1.09947 1.85779 0 0.5 -0.271557 -0.0836901 0 -0.0836901 -0.0836901 
4.032 -2.7363 1 2.1746 1  2147 2596 2875 2955 2637 2296 2224 1742  1 1 1 0 1 0 3 5 5 0.5 0.5 0.0876513 0 0.5 0.0824698 0.0341512 0 0.0341512 0.0341512 
4.034 -2.7308 1 1.3230 1  2129 2613 2828 2950 2658 2287 2079 1882  1 1 1 0 0 0 3 5 5 0.5 0.5 0.162454 0 0.5 0.0675093 0.0301136 0 0.0301136 0.0301136 
4.036 -2.6600 1 2.5981 1  2215 2613 3061 2967 2715 2344 2167 1865  1 1 1 0 1 0 5 5 5 0.5 0.5 0.223686 0 0.5 0.0552627 0.0267611 0 0.0267611 0.0267611 
4.038 -2.6744 1 2.6713 1  1967 2616 2758 2970 2898 2371 2352 1893  1 1 1 0 0 0 5 5 5 0.5 0.5 0.273811 0 0.5 0.0452378 0.0239703 0 0.0239703 0.0239703 
4.040 -2.6600 1 2.6833 1  2179 2622 2967 2976 2800 2395 2276 1923  1 1 1 0 0 0 5 5 5 0.5 0.5 0.314843 0 0.5 0.0370314 0.0216405 0 0.0216405 0.0216405 
4.042 -2.7368 1 2.6918 1  2152 2621 2994 2989 2918 2431 2267 1950  1 1 1 0 1 0 7 5 5 0.5 0.5 0.348431 0 0.5 0.0303137 0.0196889 0 0.0196889 0.0196889 
4.044 -2.6600 1 2.6800 1  2180 2612 2889 2995 2739 2505 2300 1917  1 1 1 0 0 0 5 5 5 0.5 0.5 0.375927 0 0.5 0.0248146 0.018048 0 0.018048 0.018048 
4.046 -2.7377 1 2.7094 1  2153 2614 2622 3001 2696 2481 2298 1996  1 1 1 0 1 0 7 5 5 0.5 0.5 0.398434 0 0.5 0.0203131 0.0166623 0 0.0166623 0.0166623 
