%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.218 2 1 1 0 -0.823975 -21.514893 -1.495361 0.0566 0.0286 -0.0052 0.0084 0.0315 -0.0000 0.002591 0.062739 0.0000 0 0.0000 0  687 715 829 829 830 855 880 677  1 1 0 0 0 0 0 0 0 
2.223 2 1 1 0 -0.152588 -23.864746 2.319336 0.0640 0.0493 0.0052 0.0084 0.0317 -0.0000 0.000000 0.064249 0.0000 0 0.0000 0  660 722 834 792 838 864 862 685  1 1 0 0 0 0 0 0 0 
2.228 2 1 1 0 0.335693 -21.301270 4.852295 0.0701 0.0720 0.0052 0.0084 0.0317 -0.0000 0.000000 0.065745 0.0000 0 0.0000 0  635 727 837 835 845 866 896 688  1 1 0 0 0 0 0 0 0 
2.233 2 1 1 0 0.274658 -18.341064 4.699707 0.0787 0.0821 0.0052 0.0084 0.0317 -0.0000 0.000000 0.067211 0.0000 0 0.0000 0  616 734 845 811 847 868 874 687  1 1 0 0 0 0 0 0 0 
2.238 2 1 1 0 -0.946045 -13.610840 0.488281 0.0840 0.0840 0.0233 0.0116 0.0321 -0.0000 0.000000 0.068423 0.0000 0 0.0000 0  634 729 839 806 851 866 895 691  1 1 0 0 0 0 0 0 0 
2.243 2 1 1 0 -0.366211 -10.009766 -0.946045 0.0875 0.0893 0.0233 0.0116 0.0321 -0.0000 0.000000 0.069190 0.0000 0 0.0000 0  676 732 848 832 846 872 895 694  1 1 0 0 0 0 0 0 0 
2.248 2 1 1 0 -0.122070 -9.399414 0.152588 0.0979 0.0939 0.0233 0.0369 0.0323 -0.0000 0.002591 0.069646 0.0000 0 0.0000 0  639 746 853 842 855 872 891 692  1 1 0 0 0 0 0 0 0 
2.253 2 1 1 0 -0.335693 -10.253906 -0.854492 0.1082 0.1090 0.0365 0.0369 0.0325 -0.0000 0.000000 0.070389 0.0000 0 0.0000 0  653 724 855 853 856 875 923 690  1 1 0 0 0 0 0 0 0 
2.258 2 1 1 0 -0.793457 -9.094238 -2.655029 0.1179 0.1139 0.0462 0.0550 0.0329 -0.0000 0.000000 0.071069 0.0000 0 0.0000 0  648 736 851 826 855 877 889 694  1 1 0 0 0 0 0 0 0 
2.263 2 1 1 0 -0.762939 -6.866455 -2.349854 0.1266 0.1226 0.0462 0.0542 0.0331 -0.0000 0.002591 0.071460 0.0000 0 0.0000 0  676 722 852 859 853 873 919 698  1 1 0 0 0 0 0 0 0 
