%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.017 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.671387 -0.305176 12.146
%  9 10 Motor velocity ref left, right: 0.0242 0.0174
% 11 12 Wheel velocity [m/s] left, right: 0.0257 -0.0177
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: -0.0180718 -0.000191476 -0.00518225 -0.00867923
% 17 .. 37 Edge sensor: left 0.976893 0, right 4.180000 0, values 614 678 779 760 740 730 725 550, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
3.417 2 1 2 0 3.356934 19.683838 81.878662 0.3353 0.0761 0.3265 0.1056 0.1641 -0.0028 -0.165832 -0.030219 0.9101 0 4.1800 0  490 555 651 638 661 686 705 583  1 1 0 0 0 0 0 0 0 
3.437 2 1 2 0 6.713867 13.366699 96.099854 0.3410 0.0671 0.3137 0.0329 0.1677 -0.0035 -0.202108 -0.036694 0.9101 0 4.1800 0  490 546 606 620 611 646 661 514  1 1 0 0 0 0 0 0 0 
3.457 2 1 2 0 8.575439 13.366699 112.274170 0.3557 0.0685 0.3289 0.0731 0.1718 -0.0044 -0.235793 -0.039491 0.9101 0 4.1800 0  480 550 609 610 616 627 652 506  1 1 0 0 0 0 0 0 0 
3.477 2 1 2 0 6.988525 16.143799 119.445801 0.3656 0.0663 0.3317 0.0341 0.1759 -0.0055 -0.274660 -0.042238 0.9101 0 4.1800 0  468 530 591 595 610 604 639 510  1 1 0 0 0 0 0 0 0 
3.497 2 1 2 0 -2.197266 20.965576 127.380371 0.3595 0.0514 0.3582 0.0663 0.1797 -0.0066 -0.316118 -0.048272 0.9101 0 4.1800 0  457 525 592 587 592 623 635 505  1 1 0 0 0 0 0 0 0 
3.517 2 1 2 0 11.291504 19.195557 129.547119 0.3513 0.0372 0.3715 0.0333 0.1835 -0.0080 -0.357576 -0.055274 0.9101 0 4.1800 0  452 524 590 589 596 602 629 489  1 1 0 0 0 0 0 0 0 
3.537 2 1 2 0 5.706787 15.197754 127.136230 0.3502 0.0258 0.3715 0.0285 0.1871 -0.0094 -0.401625 -0.060168 0.9101 0 4.1800 0  450 527 620 592 604 625 624 489  1 1 0 0 0 0 0 0 0 
3.557 2 1 2 0 5.126953 16.174316 128.997803 0.3335 0.0226 0.3522 0.0125 0.1904 -0.0109 -0.448265 -0.064786 0.9101 0 4.1800 0  444 527 617 589 600 634 620 480  1 1 0 0 0 0 0 0 0 
3.577 2 1 2 0 4.272461 15.380859 128.997803 0.3113 0.0115 0.3088 0.0076 0.1934 -0.0124 -0.492315 -0.068986 0.9101 0 4.1800 0  432 526 591 590 597 608 606 465  1 1 0 0 0 0 0 0 0 
3.597 2 1 2 0 2.655029 13.458252 128.479004 0.2922 0.0080 0.3462 0.0052 0.1962 -0.0140 -0.533773 -0.072689 0.9101 0 4.1800 0  430 507 591 576 585 586 588 464  1 1 0 0 0 0 0 0 0 
3.617 2 1 2 0 2.380371 16.601562 125.488281 0.2364 -0.0298 0.2478 0.0040 0.1986 -0.0155 -0.570049 -0.076818 0.9101 0 4.1800 0  452 501 576 575 577 586 593 448  1 1 0 0 0 0 0 0 0 
3.637 2 1 2 0 2.380371 10.864258 113.616943 0.1904 -0.0558 0.2345 0.0032 0.2006 -0.0168 -0.601142 -0.079399 0.9101 0 4.1800 0  448 493 566 559 568 575 557 432  1 1 0 0 0 0 0 0 0 
3.657 2 1 2 0 1.647949 -16.845703 95.458984 0.1978 -0.0284 0.2293 -0.0337 0.2021 -0.0178 -0.634827 -0.075769 0.9101 0 4.1800 0  433 497 572 557 566 584 578 435  1 1 0 0 0 0 0 0 0 
3.677 2 1 2 0 1.159668 -16.296387 72.662354 0.1776 -0.0286 0.1892 -0.0125 0.2037 -0.0191 -0.660738 -0.067684 0.9101 0 4.1800 0  437 505 575 568 577 583 587 437  1 1 0 0 0 0 0 0 0 
3.697 2 1 2 0 2.288818 -17.517090 56.762695 0.1591 -0.0271 0.1562 0.0108 0.2051 -0.0202 -0.678876 -0.060278 0.9101 0 4.1800 0  445 491 582 577 575 585 587 437  1 1 0 0 0 0 0 0 0 
3.717 2 1 2 0 3.265381 -23.559570 50.170898 0.1505 -0.0157 0.1305 0.0149 0.2065 -0.0213 -0.697014 -0.052003 0.9101 0 4.1800 0  458 531 589 590 583 592 602 435  1 1 0 0 0 0 0 0 0 
3.737 2 1 2 0 2.807617 -25.939941 44.738770 0.1535 0.0072 0.1265 0.0137 0.2076 -0.0222 -0.715152 -0.041974 0.9101 0 4.1800 0  461 549 610 599 593 606 595 448  1 1 0 0 0 0 0 0 0 
3.757 2 1 2 0 2.319336 -27.832031 40.802002 0.1705 0.0341 0.1530 0.0080 0.2088 -0.0233 -0.735881 -0.031787 0.9101 0 4.1800 0  480 553 624 620 633 618 609 460  1 1 0 0 0 0 0 0 0 
3.777 2 1 2 0 2.960205 -21.240234 40.954590 0.1770 0.0423 0.1482 0.0056 0.2099 -0.0244 -0.751428 -0.022613 0.9101 0 4.1800 0  476 594 637 631 637 628 615 452  1 1 0 0 0 0 0 0 0 
3.797 2 1 2 0 3.295898 -13.610840 46.142578 0.1699 0.0444 0.1458 0.0056 0.2110 -0.0254 -0.769566 -0.016983 0.9101 0 4.1800 0  501 569 648 643 647 630 616 469  1 1 0 0 0 0 0 0 0 
3.817 2 1 2 0 3.143311 -10.070801 48.461914 0.1698 0.0435 0.1414 0.0149 0.2121 -0.0265 -0.785113 -0.012594 0.9101 0 4.1800 0  499 571 652 646 642 632 610 469  1 1 0 0 0 0 0 0 0 
3.837 2 1 2 0 3.814697 -12.207031 54.992676 0.1792 0.0544 0.1482 0.0120 0.2134 -0.0278 -0.803251 -0.008731 0.9101 0 4.1800 0  508 576 644 654 630 609 612 473  1 1 0 0 0 0 0 0 0 
3.857 2 1 2 0 3.814697 -8.514404 48.828125 0.1894 0.0506 0.1699 0.0241 0.2146 -0.0291 -0.821389 -0.004946 0.9101 0 4.1800 0  518 588 638 652 641 620 615 483  1 1 0 0 0 0 0 0 0 
3.877 2 1 2 0 4.272461 -7.049561 56.427002 0.1985 0.0543 0.1651 0.0185 0.2158 -0.0304 -0.839527 -0.002535 0.9101 0 4.1800 0  514 585 644 655 642 643 615 483  1 1 0 0 0 0 0 0 0 
3.897 2 1 2 0 2.868652 0.122070 51.361084 0.1960 0.0486 0.1751 0.0273 0.2172 -0.0319 -0.860256 -0.001816 0.9101 0 4.1800 0  510 593 681 647 636 623 615 486  1 1 0 0 0 0 0 0 0 
3.917 2 1 2 0 5.249023 -4.455566 56.671143 0.2155 0.0575 0.1723 0.0847 0.2187 -0.0338 -0.875802 -0.000810 0.9101 0 4.1800 0  525 590 653 641 634 610 620 485  1 1 0 0 0 0 0 0 0 
3.937 2 1 2 0 5.889893 -1.770020 57.891846 0.2190 0.0630 0.1823 0.0193 0.2197 -0.0350 -0.896531 -0.000838 0.9101 0 4.1800 0  561 591 676 645 627 614 624 491  1 1 0 0 0 0 0 0 0 
3.957 2 1 2 0 6.713867 -4.425049 64.453125 0.2424 0.0746 0.1815 0.0699 0.2213 -0.0371 -0.914669 0.000652 0.9101 0 4.1800 0  527 589 665 628 613 598 629 493  1 1 0 0 0 0 0 0 0 
