%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.010 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: -0.0305176 -6.22559 0.0305176
%  9 10 Motor velocity ref left, right: -0.0044 -0.0190
% 11 12 Wheel velocity [m/s] left, right: -0.0028 -0.0229
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0202819 2.83578e-05 0.00259112 0.00687665
% 17 .. 37 Edge sensor: left -4.180000 0, right -0.200014 0, values 529 594 677 662 666 691 693 556, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.680 2 1 1 0 -2.105713 9.704590 -3.601074 0.1710 0.1689 0.1751 0.1606 0.0855 0.0000 0.000000 -0.002101 -4.1800 0 -0.2000 0  558 613 722 713 708 741 771 580  1 1 0 0 0 0 0 0 0 
2.690 2 1 1 0 -1.098633 3.387451 -3.509521 0.1770 0.1732 0.1679 0.1759 0.0872 0.0000 0.000000 -0.003034 -4.1800 0 -0.2000 0  551 626 714 702 708 742 767 612  1 1 0 0 0 0 0 0 0 
2.700 2 1 1 0 -1.525879 3.051758 -5.584717 0.1787 0.1732 0.1542 0.1759 0.0888 0.0000 0.000000 -0.003182 -4.1800 0 -0.2000 0  557 646 721 705 753 745 771 637  1 1 0 0 0 0 0 0 0 
2.710 2 1 1 0 -0.061035 4.302979 -2.532959 0.1728 0.1708 0.1329 0.1707 0.0904 0.0000 0.000000 -0.004154 -4.1800 0 -0.2000 0  552 622 710 703 723 749 769 595  1 1 0 0 0 0 0 0 0 
2.720 2 1 1 0 0.183105 5.340576 -7.293701 0.1678 0.1458 0.1394 0.1562 0.0918 0.0000 0.002591 -0.004606 -4.1800 0 -0.2000 0  557 622 715 710 699 747 771 563  1 1 0 0 0 0 0 0 0 
2.730 2 1 1 0 -0.518799 3.784180 -4.455566 0.1651 0.1413 0.1502 0.1048 0.0932 0.0000 0.000000 -0.005268 -4.1800 0 -0.2000 0  550 630 717 705 722 757 765 581  1 1 0 0 0 0 0 0 0 
2.740 2 1 1 0 -0.885010 -3.051758 -3.540039 0.1720 0.1527 0.1486 0.1586 0.0946 0.0000 -0.002591 -0.005179 -4.1800 0 -0.2000 0  551 612 714 714 732 754 768 623  1 1 0 0 0 0 0 0 0 
2.750 2 1 1 0 0.213623 -7.537842 -1.556396 0.1834 0.1623 0.1598 0.1562 0.0962 0.0000 -0.002591 -0.003938 -4.1800 0 -0.2000 0  550 613 722 719 734 738 766 567  1 1 0 0 0 0 0 0 0 
2.760 2 1 1 0 0.396729 -7.965088 3.417969 0.1942 0.1687 0.1233 0.1751 0.0976 0.0000 0.000000 -0.002781 -4.1800 0 -0.2000 0  552 623 732 723 756 753 771 637  1 1 0 0 0 0 0 0 0 
2.770 2 1 1 0 0.427246 -1.495361 1.953125 0.1843 0.1629 0.1349 0.1329 0.0992 0.0000 0.000000 -0.001893 -4.1800 0 -0.2000 0  563 633 741 733 730 775 769 618  1 1 0 0 0 0 0 0 0 
2.780 2 1 1 0 0.274658 0.274658 5.310059 0.1781 0.1609 0.1442 0.1374 0.1006 0.0000 -0.002591 -0.002134 -4.1800 0 -0.2000 0  556 626 711 729 739 744 766 577  1 1 0 0 0 0 0 0 0 
2.790 2 1 1 0 0.854492 -0.061035 -0.549316 0.1787 0.1679 0.1679 0.1317 0.1022 0.0000 -0.002591 -0.001952 -4.1800 0 -0.2000 0  550 631 724 726 739 741 770 591  1 1 0 0 0 0 0 0 0 
2.800 2 1 1 0 -1.098633 -5.554199 2.716064 0.1963 0.1987 0.1438 0.1783 0.1038 0.0000 -0.002591 -0.001436 -4.1800 0 -0.2000 0  554 627 728 736 737 738 768 599  1 1 0 0 0 0 0 0 0 
2.810 2 1 1 0 -0.823975 6.591797 -7.385254 0.1815 0.1812 0.1542 0.1329 0.1054 0.0000 -0.002591 -0.001348 -4.1800 0 -0.2000 0  534 629 731 735 736 734 771 591  1 1 0 0 0 0 0 0 0 
2.820 2 1 1 0 0.610352 5.249023 -1.373291 0.1805 0.1739 0.1454 0.1847 0.1068 -0.0000 0.000000 -0.003082 -4.1800 0 -0.2000 0  561 629 738 726 737 750 757 586  1 1 0 0 0 0 0 0 0 
2.830 2 1 1 0 -0.488281 5.462646 -5.249023 0.1809 0.1747 0.1876 0.1406 0.1086 -0.0000 -0.002591 -0.003499 -4.1800 0 -0.2000 0  546 631 728 703 735 754 757 579  1 1 0 0 0 0 0 0 0 
2.840 2 1 1 0 -1.281738 4.516602 -2.471924 0.1749 0.1710 0.1502 0.1687 0.1100 -0.0000 0.000000 -0.004990 -4.1800 0 -0.2000 0  521 634 736 723 739 737 759 592  1 1 0 0 0 0 0 0 0 
2.850 2 1 1 0 0.793457 -2.258301 -2.685547 0.1892 0.1833 0.1839 0.1868 0.1119 -0.0000 -0.002591 -0.004783 -4.1800 0 -0.2000 0  539 633 740 740 743 763 782 589  1 1 0 0 0 0 0 0 0 
2.860 2 1 1 0 0.244141 4.608154 2.410889 0.1781 0.1662 0.1438 0.1783 0.1133 -0.0000 0.000000 -0.005536 -4.1800 0 -0.2000 0  553 642 742 744 751 754 790 591  1 1 0 0 0 0 0 0 0 
2.870 2 1 1 0 0.152588 3.631592 -1.342773 0.1777 0.1522 0.1699 0.1566 0.1149 -0.0000 0.000000 -0.005920 -4.1800 0 -0.2000 0  592 652 750 758 765 788 796 610  1 1 0 0 0 0 0 0 0 
2.880 2 1 1 0 0.396729 5.737305 4.852295 0.1610 0.1433 0.1450 0.1345 0.1163 -0.0000 -0.002591 -0.007161 -4.1800 0 -0.2000 0  549 665 768 736 781 782 807 617  1 1 0 0 0 0 0 0 0 
2.890 2 1 1 0 0.152588 -2.044678 3.875732 0.1769 0.1547 0.1759 0.1606 0.1179 -0.0000 -0.002591 -0.007024 -4.1800 0 -0.2000 0  604 679 793 791 802 816 848 631  1 1 0 0 0 0 0 0 0 
2.900 2 1 1 0 0.061035 -8.453369 4.241943 0.1877 0.1923 0.1643 0.1631 0.1195 -0.0000 -0.002591 -0.005659 -4.1800 0 -0.2000 0  643 702 821 790 828 843 849 651  1 1 0 0 0 0 0 0 0 
