%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.322 2 1 1 0 0.0590 0.0494 0.0343 0.0025 -0.007773 0.081491 -2.9835 0 -0.9522 0  680 1013 1056 1023 964 904 888 731  1 1 0 0 0 0 0 0 0 100 460 
2.327 2 1 1 0 0.0486 0.0494 0.0345 0.0025 -0.010364 0.083624 -2.9835 0 -0.9522 0  685 972 1065 1028 1023 911 897 752  1 1 0 0 0 0 0 0 0 100 450 
2.332 2 1 1 0 0.0715 0.0550 0.0349 0.0025 -0.010364 0.085406 -2.9835 0 -0.9522 0  690 991 1065 1034 997 920 902 690  1 1 0 0 0 0 0 0 0 100 450 
2.337 2 1 1 0 0.0811 0.0462 0.0351 0.0025 -0.012956 0.086910 -2.9835 0 -0.9522 0  693 965 1078 1036 972 920 905 703  1 1 0 0 0 0 0 0 0 100 450 
2.342 2 1 1 0 0.0635 0.0442 0.0353 0.0025 -0.010364 0.088754 -2.9835 0 -0.9522 0  695 986 1079 1039 1020 929 909 751  1 1 0 0 0 0 0 0 0 100 460 
2.347 2 1 1 0 0.0602 0.0514 0.0357 0.0025 -0.010364 0.091329 -2.9835 0 -0.9522 0  697 1032 1093 1047 983 946 915 749  1 1 0 0 0 0 0 0 0 100 450 
2.352 2 1 1 0 0.0651 0.0606 0.0361 0.0025 -0.010364 0.093862 -2.9835 0 -0.9522 0  697 992 1091 1053 1019 941 925 783  1 1 0 0 0 0 0 0 0 100 460 
2.357 2 1 1 0 0.1056 0.0928 0.0367 0.0025 -0.012956 0.095499 -2.9835 0 -0.9522 0  703 1018 1100 1053 1058 945 926 769  1 1 0 0 0 0 0 0 0 100 460 
2.362 2 1 1 0 0.0839 0.1088 0.0371 0.0025 -0.012956 0.096608 -2.9835 0 -0.9522 0  709 1026 1109 1060 1012 948 928 761  1 1 0 0 0 0 0 0 0 100 460 
2.367 2 1 1 0 0.0715 0.0795 0.0373 0.0025 -0.010364 0.097362 -2.9835 0 -0.9522 0  706 1014 1102 1062 1014 929 933 744  1 1 0 0 0 0 0 0 0 100 460 
2.372 2 1 1 0 0.1000 0.0578 0.0379 0.0025 -0.012956 0.098326 -2.9835 0 -0.9522 0  709 1012 1105 1062 1023 967 933 743  1 1 0 0 0 0 0 0 0 100 460 
