%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.001 sec
%  2  3 Wheel velocity [m/s] left, right: -0.0627 -0.0454
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.000608645 -0.000549157 0.00259112 -0.0153037
%  8 .. 28 Edge sensor: left 1.433686 0, right 4.180000 0, values 519 738 796 812 828 761 733 630, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=20 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 460
2.241 -0.0165 -0.0442 -0.0100 -0.0006 0.005182 0.050997 1.4337 0 4.1800 0  607 853 934 932 902 839 861 725  1 1 0 0 0 0 0 20 0 100 460 
2.244 -0.0149 -0.0442 -0.0100 -0.0006 0.005182 0.051757 1.4337 0 4.1800 0  607 853 939 934 899 844 873 728  1 1 0 0 0 0 0 20 0 100 460 
2.247 -0.0133 -0.0337 -0.0100 -0.0006 0.005182 0.052632 1.4337 0 4.1800 0  612 861 938 931 904 850 872 719  1 1 0 0 0 0 0 20 0 100 460 
2.250 -0.0120 -0.0269 -0.0100 -0.0006 0.005182 0.053545 1.4337 0 4.1800 0  616 865 937 948 906 849 875 715  1 1 0 0 0 0 0 20 0 100 450 
2.253 -0.0108 -0.0225 -0.0100 -0.0006 0.005182 0.054250 1.4337 0 4.1800 0  618 861 940 936 906 850 872 732  1 1 0 0 0 0 0 20 0 100 460 
2.256 -0.0100 -0.0193 -0.0100 -0.0006 0.005182 0.055022 1.4337 0 4.1800 0  612 863 953 937 902 848 879 731  1 1 0 0 0 0 0 20 0 100 460 
2.259 -0.0092 -0.0169 -0.0100 -0.0006 0.005182 0.055812 1.4337 0 4.1800 0  609 871 955 932 909 855 881 730  1 1 0 0 0 0 0 20 0 100 460 
2.262 0.0092 -0.0149 -0.0098 -0.0006 0.002591 0.056599 1.4337 0 4.1800 0  615 864 946 937 912 855 876 736  1 1 0 0 0 0 0 20 0 100 460 
2.265 0.0092 -0.0133 -0.0098 -0.0006 0.002591 0.057347 1.4337 0 4.1800 0  615 873 958 939 916 859 879 736  1 1 0 0 0 0 0 20 0 100 460 
2.268 0.0092 -0.0120 -0.0098 -0.0006 0.002591 0.058133 1.4337 0 4.1800 0  619 872 958 945 912 857 874 739  1 1 0 0 0 0 0 20 0 100 460 
2.271 0.0092 -0.0108 -0.0098 -0.0006 0.002591 0.058916 1.4337 0 4.1800 0  622 875 955 954 917 854 879 699  1 1 0 0 0 0 0 20 0 100 460 
2.274 0.0092 -0.0100 -0.0098 -0.0006 0.002591 0.059669 1.4337 0 4.1800 0  619 873 963 946 914 858 883 740  1 1 0 0 0 0 0 20 0 100 460 
2.277 0.0092 -0.0092 -0.0098 -0.0006 0.002591 0.060372 1.4337 0 4.1800 0  622 872 959 965 914 856 886 742  1 1 0 0 0 0 0 20 0 100 460 
2.280 0.0092 -0.0088 -0.0098 -0.0006 0.002591 0.061127 1.4337 0 4.1800 0  623 878 960 952 915 860 889 738  1 1 0 0 0 0 0 20 0 100 460 
2.283 0.0092 -0.0080 -0.0098 -0.0006 0.002591 0.061852 1.4337 0 4.1800 0  629 884 965 942 912 856 885 735  1 1 0 0 0 0 0 20 0 100 460 
2.286 0.0092 -0.0076 -0.0098 -0.0006 0.002591 0.062635 1.4337 0 4.1800 0  624 883 972 980 920 866 879 743  1 1 0 0 0 0 0 20 0 100 460 
2.289 0.0092 -0.0072 -0.0098 -0.0006 0.002591 0.063479 1.4337 0 4.1800 0  625 892 967 955 931 872 893 748  1 1 0 0 0 0 0 20 0 100 450 
2.292 0.0092 -0.0068 -0.0098 -0.0006 0.002591 0.064384 1.4337 0 4.1800 0  626 894 968 955 927 870 895 734  1 1 0 0 0 0 0 20 0 100 460 
2.295 0.0092 -0.0064 -0.0098 -0.0006 0.002591 0.065349 1.4337 0 4.1800 0  631 879 972 971 935 875 895 749  1 1 0 0 0 0 0 20 0 100 450 
2.298 0.0092 -0.0060 -0.0098 -0.0006 0.002591 0.066335 1.4337 0 4.1800 0  636 898 977 956 931 877 889 738  1 1 0 0 0 0 0 20 0 100 450 
2.301 0.0092 -0.0060 -0.0098 -0.0006 0.002591 0.067345 1.4337 0 4.1800 0  642 903 980 953 939 880 906 751  1 1 0 0 0 0 0 20 0 100 450 
2.304 0.0088 -0.0056 -0.0098 -0.0006 0.002591 0.068366 1.4337 0 4.1800 0  634 917 985 956 949 880 901 749  1 1 0 0 0 0 0 20 0 100 450 
2.307 0.0084 0.0056 -0.0096 -0.0006 0.005182 0.069416 1.4337 0 4.1800 0  634 866 984 956 955 891 891 755  1 1 0 0 0 0 0 20 0 100 450 
