%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.007 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 1.0376 5.67627 -6.98853
%  9 10 Wheel velocity [m/s] left, right: -0.0116 -0.0112
% 11 12 13 14 Pose x,y,h,tilt [m,m,rad,rad]: -0.00742998 -0.000129301 -0.00259112 0.00280174
% 15 .. 35 Edge sensor: left -4.180000 0, right -2.068738 0, values 585 831 893 902 867 780 734 580, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 15 16 Get data time [us]: 100 +ctrl 480
2.665 2 1 1 0 0.000000 7.843018 -3.295898 0.1378 0.0960 0.0237 -0.0004 -0.005182 -0.010609 -4.1800 0 -0.8126 0  524 747 836 844 824 751 719 572  1 1 0 0 0 0 0 0 0 100 470 
2.672 2 1 1 0 -0.671387 4.394531 1.770020 0.0787 0.1482 0.0245 -0.0004 -0.005182 -0.011820 -4.1800 0 -0.8126 0  530 766 832 845 828 748 717 554  1 1 0 0 0 0 0 0 0 100 490 
2.679 2 1 1 0 -0.030518 1.861572 1.892090 0.1735 0.1221 0.0255 -0.0004 -0.002591 -0.011905 -4.1800 0 -0.8126 0  525 753 846 852 824 750 712 572  1 1 0 0 0 0 0 0 0 100 490 
2.686 2 1 1 0 -0.122070 0.457764 -2.655029 0.1032 0.1000 0.0261 -0.0004 -0.005182 -0.011824 -4.1800 0 -0.8126 0  530 749 847 851 823 754 717 570  1 1 0 0 0 0 0 0 0 100 480 
2.693 2 1 1 0 -0.183105 -2.227783 2.502441 0.1442 0.1229 0.0271 -0.0004 -0.002591 -0.011681 -4.1800 0 -0.8126 0  529 763 863 848 822 761 710 570  1 1 0 0 0 0 0 0 0 100 490 
2.700 2 1 1 0 -0.427246 2.532959 -4.180908 0.0843 0.1064 0.0277 -0.0004 -0.005182 -0.011586 -4.1800 0 -0.8126 0  529 763 863 849 817 736 715 566  1 1 0 0 0 0 0 0 0 100 480 
2.707 2 1 1 0 -0.915527 -2.990723 1.617432 0.1145 0.1104 0.0285 -0.0004 -0.005182 -0.011568 -4.1800 0 -0.8126 0  524 772 862 851 819 743 713 575  1 1 0 0 0 0 0 0 0 100 480 
2.714 2 1 1 0 -0.427246 -3.265381 -0.640869 0.1016 0.1141 0.0293 -0.0004 -0.005182 -0.010786 -4.1800 0 -0.8126 0  540 771 854 854 823 748 711 576  1 1 0 0 0 0 0 0 0 100 480 
2.721 2 1 1 0 -0.823975 -5.737305 0.427246 0.0956 0.0960 0.0299 -0.0004 -0.002591 -0.010201 -4.1800 0 -0.8126 0  532 779 893 858 827 745 717 579  1 1 0 0 0 0 0 0 0 100 480 
2.728 2 1 1 0 -0.213623 -5.187988 -1.831055 0.1048 0.0976 0.0307 -0.0004 -0.002591 -0.009289 -4.1800 0 -0.8126 0  554 782 865 862 824 740 719 580  1 1 0 0 0 0 0 0 0 100 470 
2.735 2 1 1 0 -0.244141 -3.295898 1.098633 0.0964 0.1048 0.0315 -0.0004 -0.002591 -0.008959 -4.1800 0 -0.8126 0  559 784 871 862 825 734 722 580  1 1 0 0 0 0 0 0 0 100 480 
2.742 2 1 1 0 -1.068115 -9.155273 1.983643 0.0843 0.1193 0.0321 -0.0004 -0.000000 -0.008155 -4.1800 0 -0.8126 0  545 789 863 868 822 751 726 585  1 1 0 0 0 0 0 0 0 100 480 
